date,code,close,adjustflag,turn,tradestatus,pctChg,isST
2023-10-09,sh.603757,24.3670143000,2,1.138200,1,-0.807100,0
2023-10-10,sh.603757,24.1786606500,2,0.774000,1,-0.773000,0
2023-10-11,sh.603757,23.9803936500,2,0.744500,1,-0.820000,0
2023-10-12,sh.603757,23.7622999500,2,1.479000,1,-0.909500,0
2023-10-13,sh.603757,23.5342929000,2,1.254600,1,-0.959500,0
2023-10-16,sh.603757,23.2666324500,2,0.997400,1,-1.137300,0
2023-10-17,sh.603757,23.2765458000,2,0.768800,1,0.042600,0
2023-10-18,sh.603757,23.0782788000,2,1.093100,1,-0.851800,0
2023-10-19,sh.603757,22.8800118000,2,1.008400,1,-0.859100,0
2023-10-20,sh.603757,22.8100000000,2,0.678100,1,-0.305900,0
2023-10-23,sh.603757,22.8000000000,2,1.187000,1,-0.043800,0
2023-10-24,sh.603757,22.9300000000,2,1.258000,1,0.570200,0
2023-10-25,sh.603757,23.9400000000,2,2.368500,1,4.404700,0
2023-10-26,sh.603757,23.7400000000,2,1.471700,1,-0.835400,0
2023-10-27,sh.603757,24.0500000000,2,1.234500,1,1.305800,0
2023-10-30,sh.603757,24.2200000000,2,1.444300,1,0.706900,0
2023-10-31,sh.603757,23.4500000000,2,1.891800,1,-3.179200,0
2023-11-01,sh.603757,23.3600000000,2,1.442900,1,-0.383800,0
2023-11-02,sh.603757,23.0600000000,2,0.952200,1,-1.284200,0
2023-11-03,sh.603757,23.5300000000,2,1.408300,1,2.038200,0
2023-11-06,sh.603757,23.9500000000,2,1.174300,1,1.785000,0
2023-11-07,sh.603757,24.1600000000,2,1.289200,1,0.876800,0
2023-11-08,sh.603757,23.8900000000,2,0.846300,1,-1.117500,0
2023-11-09,sh.603757,24.4400000000,2,1.510100,1,2.302200,0
2023-11-10,sh.603757,24.0600000000,2,0.745700,1,-1.554800,0
2023-11-13,sh.603757,24.0400000000,2,0.999900,1,-0.083100,0
2023-11-14,sh.603757,24.3800000000,2,0.929500,1,1.414300,0
2023-11-15,sh.603757,24.4000000000,2,0.798800,1,0.082000,0
